Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank,City,State,Country,Zip_Code
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004,904,2015,Pigeon Forge,Tennessee,United States,37863
6,The Beast,Kings Island,"Mason, Ohio",KECO,1979,740,2015,Mason,Ohio,United States,45040
7,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,722,2015,Erie,Pennsylvania,United States,16505
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,637,2015,Branson,Missouri,United States,65616
9,Gold Striker,California’s Great America,"Santa Clara, Calif.",GCII,2013,560,2015,Santa Clara,California,United States,95054
10,Lightning Racer,Hersheypark,"Hershey, Pa.",GCII,2000,421,2015,Hershey,Pennsylvania,United States,17033
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,1216,2016,Bristol,Connecticut,United States,06010
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn-PTC/Schmeck,1985,1144,2016,Elysburg,Pennsylvania,United States,17824
3,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,1121,2016,Jackson,New Jersey,United States,08527
4,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,1028,2016,Santa Claus,Indiana,United States,47579
5,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,692,2016,Erie,Pennsylvania,United States,16505
6,The Beast,Kings Island,"Mason, Ohio",KECO,1979,670,2016,Mason,Ohio,United States,45040
7,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,641,2016,Pigeon Forge,Tennessee,United States,37863
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,611,2016,Branson,Missouri,United States,65616
9,Gold Striker,California’s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,525,2016,Santa Clara,California,United States,95054
10,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,347,2016,Hershey,Pennsylvania,United States,17033
11,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,336,2016,Pigeon Forge,Tennessee,United States,37863
12,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,292,2016,Gothenburg,Västra Götalands,Sweden,402 22
13,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,267,2016,Gurnee,Illinois,United States,60031
14,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,256,2016,Kansas City,Missouri,United States,64161
15,The Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,245,2016,Santa Claus,Indiana,United States,47579
16,The Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,241,2016,Santa Claus,Indiana,United States,47579
